absoluto	adjective	absolute, unconditional	no me gustó en absoluto	I did not like it at all
olvido	masculine noun	forgetfulness	no sentence available	no sentence available
pacto	masculine noun	pact, agreement	no sentence available	no sentence available
papa	masculine noun	pope	el Papa	the Pope
paraíso	masculine noun	paradise, heaven	no sentence available	no sentence available
pasillo	masculine noun	hallway, corridor, aisle	no sentence available	no sentence available
pecado	masculine noun	sin	no sentence available	no sentence available
pedazo	masculine noun	piece, bit, chunk	caerse a pedazos	to fall to pieces
pescado	masculine noun	fish (as food)	no sentence available	no sentence available
piano	masculine noun	piano	piano de cola	grand piano
porvenir	masculine noun	future	no sentence available	no sentence available
pozo	masculine noun	well	pozo de petróleo, pozo petrolero	oil well
prejuicio	masculine noun	prejudice	tener prejuicios contra	to be prejudiced against
presupuesto	masculine noun	budget, estimate	no sentence available	no sentence available
pretexto	masculine noun	pretext, excuse	no sentence available	no sentence available
príncipe	masculine noun	prince	no sentence available	no sentence available
propietario	adjective	proprietary	no sentence available	no sentence available
refugio	masculine noun	refuge, shelter	no sentence available	no sentence available
requisito	masculine noun	requirement	no sentence available	no sentence available
respaldo	masculine noun	back (of an object)	no sentence available	no sentence available
resumen	masculine noun	summary, summation	no sentence available	no sentence available
robo	masculine noun	robbery, theft	robo de identidad	identity theft
rumor	masculine noun	rumor	no sentence available	no sentence available
saco	masculine noun	bag, sack	no sentence available	no sentence available
saludo	masculine noun	greeting, regards {itplural{/it	no sentence available	no sentence available
sello	masculine noun	seal	no sentence available	no sentence available
septiembre	masculine noun	September	el cinco de septiembre	(on) the fifth of September
sombrero	masculine noun	hat	no sentence available	no sentence available
suceso	masculine noun	event, happening, occurrence	no sentence available	no sentence available
sufrimiento	masculine noun	suffering	no sentence available	no sentence available
tabaco	masculine noun	tobacco	no sentence available	no sentence available
tejido	masculine noun	fabric, cloth	tejido muscular	muscle tissue
tesoro	masculine noun	treasure	no sentence available	no sentence available
tránsito	masculine noun	traffic	hora de máximo tránsito	rush hour
traslado	masculine noun	transfer, move	no sentence available	no sentence available
tribunal	masculine noun	court, tribunal	no sentence available	no sentence available
tronco	masculine noun	trunk (of a tree)	no sentence available	no sentence available
trozo	masculine noun	piece, bit, chunk	no sentence available	no sentence available
tubo	masculine noun	tube	tubo de ensayo	test tube
túnel	masculine noun	tunnel	no sentence available	no sentence available
vapor	masculine noun	vapor, steam	no sentence available	no sentence available
verso	masculine noun	verse	no sentence available	no sentence available
vicio	masculine noun	vice, depravity	no sentence available	no sentence available
arquitecto	noun	architect	no sentence available	no sentence available
corredor	noun	runner, racer	corredor de bolsa	stockbroker
investigador	noun	investigator	investigador privado, investigadora privada	private investigator
músico	adjective	musical	no sentence available	no sentence available
dieciocho	adjective & masculine noun	eighteen	no sentence available	no sentence available
dieciséis	adjective & masculine noun	sixteen	no sentence available	no sentence available
tuyo	adjective	yours, of yours	un amigo tuyo	a friend of yours
abrazar	transitive verb	to hug, to embrace	no sentence available	no sentence available
abundar	intransitive verb	to abound, to be plentiful	no sentence available	no sentence available
acentuar	transitive verb	to accent	no sentence available	no sentence available
acoger	transitive verb	to take in, to shelter	no sentence available	no sentence available
adivinar	transitive verb	to guess	no sentence available	no sentence available
administrar	transitive verb	to administer, to manage, to run	no sentence available	no sentence available
afrontar	transitive verb	to confront, to face up to	no sentence available	no sentence available
ahogar	transitive verb	to drown	no sentence available	no sentence available
ahorrar	transitive verb	to save (money)	no sentence available	no sentence available
alargar	transitive verb	to extend, to lengthen	no sentence available	no sentence available
alegrar	transitive verb	to make happy, to cheer up	me alegra mucho que …	I'm very happy that …
alzar	transitive verb	to lift, to raise	no sentence available	no sentence available
anotar	transitive verb	to annotate	no sentence available	no sentence available
anular	transitive verb	to annul, to cancel	no sentence available	no sentence available
armar	transitive verb	to assemble, to put together	armar un escándalo	to cause a scene
asimilar	transitive verb	to assimilate	no sentence available	no sentence available
asustar	transitive verb	to scare, to frighten	no sentence available	no sentence available
autorizar	transitive verb	to authorize, to approve	no sentence available	no sentence available
brillar	intransitive verb	to shine, to sparkle	no sentence available	no sentence available
brotar	intransitive verb	to bud, to sprout	no sentence available	no sentence available
calentar	transitive verb	to heat, to warm	no sentence available	no sentence available
cansar	transitive verb	to tire	no sentence available	no sentence available
centrar	transitive verb	to center	no sentence available	no sentence available
concretar	transitive verb	to pinpoint, to specify	no sentence available	no sentence available
contraer	transitive verb	to contract (a disease)	contraer matrimonio	to get married
conversar	intransitive verb	to converse, to talk	no sentence available	no sentence available
convivir	intransitive verb	to coexist	no sentence available	no sentence available
convocar	transitive verb	to convoke, to call together	no sentence available	no sentence available
deducir	transitive verb	to deduce	no sentence available	no sentence available
derrotar	transitive verb	to defeat	no sentence available	no sentence available
descartar	transitive verb	to rule out, to reject	no sentence available	no sentence available
desviar	transitive verb	to change the course of, to divert	no sentence available	no sentence available
detectar	transitive verb	to detect	no sentence available	no sentence available
diferenciar	transitive verb	to differentiate between, to distinguish	no sentence available	no sentence available
difundir	transitive verb	to diffuse, to spread out	no sentence available	no sentence available
diseñar	transitive verb	to design, to plan	no sentence available	no sentence available
distraer	transitive verb	to distract	no sentence available	no sentence available
efectuar	transitive verb	to carry out, to bring about	no sentence available	no sentence available
encantar	transitive verb	to enchant, to bewitch	me encanta esta canción	I love this song
enriquecer	transitive verb	to enrich	no sentence available	no sentence available
enterrar	transitive verb	to bury	no sentence available	no sentence available
entretener	transitive verb	to entertain, to amuse	no sentence available	no sentence available
esforzar	transitive verb	to strain	no sentence available	no sentence available
estimular	transitive verb	to stimulate	no sentence available	no sentence available
exagerar	verb	to exaggerate	no sentence available	no sentence available
extrañar	transitive verb	to miss (someone)	no sentence available	no sentence available
flotar	intransitive verb	to float	no sentence available	no sentence available
frenar	transitive verb	to brake	no sentence available	no sentence available
generalizar	intransitive verb	to generalize	no sentence available	no sentence available
guiar	transitive verb	to guide, to lead	no sentence available	no sentence available
habitar	transitive verb	to inhabit	no sentence available	no sentence available
heredar	transitive verb	to inherit	no sentence available	no sentence available
iluminar	transitive verb	to illuminate, to light (up)	no sentence available	no sentence available
imprimir	transitive verb	to print	no sentence available	no sentence available
inducir	transitive verb	to induce, to cause	no sentence available	no sentence available
jurar	transitive verb	to swear	jurar lealtad	to swear loyalty
lamentar	transitive verb	to lament	lo lamento	I'm sorry
librar	transitive verb	to free (from punishment, etc.), to save (from death, etc.)	líbranos del mal	deliver us from evil
lucir	intransitive verb	to shine	ahora luce contento	he looks happy now
originar	transitive verb	to originate, to give rise to	no sentence available	no sentence available
pescar	transitive verb	to fish for	no sentence available	no sentence available
picar	transitive verb	to sting (of bees, etc.), to bite (of fleas, etc.)	no sentence available	no sentence available
pisar	transitive verb	to step on/in	no pises las flores	don't step on the flowers
planear	transitive verb	to plan	no sentence available	no sentence available
plantar	transitive verb	to plant, to sow	plantar de flores	to plant with flowers
presionar	transitive verb	to pressure	no sentence available	no sentence available
privar	transitive verb	to deprive	privar a alguien de algo	to deprive someone of something
proclamar	transitive verb	to proclaim	no sentence available	no sentence available
progresar	intransitive verb	to progress, to make progress	no sentence available	no sentence available
promover	transitive verb	to promote, to encourage	no sentence available	no sentence available
proseguir	transitive verb	to continue	no sentence available	no sentence available
proveer	transitive verb	to provide, to supply	proveer a alguien de algo	to provide someone with something
redactar	transitive verb	to write, to draft	no sentence available	no sentence available
reflexionar	intransitive verb	to reflect, to think	no sentence available	no sentence available
reiterar	transitive verb	to reiterate, to repeat	no sentence available	no sentence available
relatar	transitive verb	to relate, to tell	no sentence available	no sentence available
remontar	transitive verb	to overcome	no sentence available	no sentence available
reparar	transitive verb	to repair, to fix, to mend	no sentence available	no sentence available
rescatar	transitive verb	to rescue, to save	no sentence available	no sentence available
reservar	transitive verb	to reserve	no sentence available	no sentence available
residir	intransitive verb	to reside, to dwell	no sentence available	no sentence available
restar	transitive verb	to deduct, to subtract	restar un punto	to deduct a point
retroceder	intransitive verb	to move back, to turn back	no sentence available	no sentence available
rezar	intransitive verb	to pray	como reza el refrán	as the saying goes
sacrificar	transitive verb	to sacrifice	no sentence available	no sentence available
sacudir	transitive verb	to shake, to beat	no sentence available	no sentence available
seleccionar	transitive verb	to select, to choose	no sentence available	no sentence available
sembrar	transitive verb	to plant, to sow	sembrar el pánico	to spread panic
sobrar	intransitive verb	to be in excess, to be superfluous	más vale que sobre a que falte	it's better to have too much than not enough
sonreír	intransitive verb	to smile	no sentence available	no sentence available
sujetar	transitive verb	to hold on to, to steady, to hold down	no sentence available	no sentence available
suprimir	transitive verb	to suppress, to eliminate	no sentence available	no sentence available
tejer	transitive verb	to knit, to crochet	no sentence available	no sentence available
tolerar	transitive verb	to tolerate	no sentence available	no sentence available
tragar	verb	to swallow	no sentence available	no sentence available
transportar	transitive verb	to transport, to carry	no sentence available	no sentence available
trazar	transitive verb	to trace	no sentence available	no sentence available
triunfar	intransitive verb	to triumph, to win	no sentence available	no sentence available
tropezar	intransitive verb	to trip, to stumble	no sentence available	no sentence available
valorar	transitive verb	to evaluate, to appraise, to assess	no sentence available	no sentence available
violar	transitive verb	to rape	no sentence available	no sentence available
aceptable	adjective	acceptable	no sentence available	no sentence available
ambicioso	adjective	ambitious	no sentence available	no sentence available
amoroso	adjective	loving, affectionate	una mirada amorosa	an amorous glance
animado	adjective	animated, lively	no sentence available	no sentence available
ansioso	adjective	anxious, worried	no sentence available	no sentence available
auxiliar	transitive verb	to aid, to assist	no sentence available	no sentence available
británico	adjective	British	no sentence available	no sentence available
brusco	adjective	sudden, abrupt	no sentence available	no sentence available
callado	adjective	quiet, silent	no sentence available	no sentence available
casero	adjective	domestic, household	no sentence available	no sentence available
célebre	adjective	celebrated, famous	no sentence available	no sentence available
chileno	adjective & noun	Chilean	no sentence available	no sentence available
colgado	adjective	hanging, hanged	no sentence available	no sentence available
colonial	adjective	colonial	no sentence available	no sentence available
cómico	adjective	comic, comical	no sentence available	no sentence available
contemporáneo	adjective & noun	contemporary	no sentence available	no sentence available
contradictorio	adjective	contradictory	no sentence available	no sentence available
décimo	adjective & noun	tenth	la décima (persona)	the tenth (person)
delgado	adjective	thin, skinny	no sentence available	no sentence available
delicioso	adjective	delicious	no sentence available	no sentence available
despacio	adverb	slowly, slow	¡despacio!	take it easy!, easy does it!
destacado	adjective	outstanding, prominent	no sentence available	no sentence available
dicho	adjective	said, aforementioned	las personas dichas	the aforementioned people
discreto	adjective	discreet	no sentence available	no sentence available
disponible	adjective	available	no sentence available	no sentence available
distinguido	adjective	distinguished, refined	no sentence available	no sentence available
dotado	adjective	gifted	no sentence available	no sentence available
dudoso	adjective	doubtful	no sentence available	no sentence available
ejecutivo	adjective & noun	executive	no sentence available	no sentence available
electoral	adjective	electoral, election	no sentence available	no sentence available
electrónico	adjective	electronic, electronics	no sentence available	no sentence available
enamorado	adjective	in love	no sentence available	no sentence available
encantado	adjective	charmed, bewitched	no sentence available	no sentence available
encendido	adjective	burning	no sentence available	no sentence available
enérgico	adjective	energetic, vigorous	no sentence available	no sentence available
espantoso	adjective	frightening, terrifying	no sentence available	no sentence available
estupendo	adjective	stupendous, marvelous	no sentence available	no sentence available
estúpido	adjective	stupid	no sentence available	no sentence available
financiero	adjective	financial	no sentence available	no sentence available
flexible	adjective	flexible	no sentence available	no sentence available
formidable	adjective	formidable, tremendous	no sentence available	no sentence available
frágil	adjective	fragile	no sentence available	no sentence available
genial	adjective	genial, pleasant	una obra genial	a work of genius
geográfico	adjective	geographic, geographical	no sentence available	no sentence available
gracioso	adjective	funny, amusing	no sentence available	no sentence available
grato	adjective	pleasant, agreeable	no sentence available	no sentence available
gratuito	adjective	gratuitous, unwarranted	no sentence available	no sentence available
heroico	adjective	heroic	no sentence available	no sentence available
honesto	adjective	decent, virtuous	no sentence available	no sentence available
ignorante	adjective	ignorant	no sentence available	no sentence available
iluminado	adjective	illuminated, lighted	no sentence available	no sentence available
ilustrado	adjective	illustrated	no sentence available	no sentence available
indirecto	adjective	indirect	no sentence available	no sentence available
innecesario	adjective	unnecessary	no sentence available	no sentence available
innumerable	adjective	innumerable, countless	no sentence available	no sentence available
insoportable	adjective	unbearable, intolerable	no sentence available	no sentence available
insuficiente	adjective	insufficient, inadequate	no sentence available	no sentence available
intacto	adjective	intact	no sentence available	no sentence available
intermedio	adjective	intermediate	no sentence available	no sentence available
interminable	adjective	interminable, endless	no sentence available	no sentence available
irregular	adjective	irregular	no sentence available	no sentence available
laboral	adjective	work, labor	costos laborales	labor costs
lamentable	adjective	unfortunate, lamentable	no sentence available	no sentence available
materno	adjective	maternal	no sentence available	no sentence available
mediano	adjective	medium, average	la mediana edad	middle age
miserable	adjective	miserable, wretched	no sentence available	no sentence available
molesto	adjective	bothered, annoyed	no sentence available	no sentence available
mortal	adjective	mortal	no sentence available	no sentence available
mudo	adjective	silent	el cine mudo	silent films
nativo	adjective & noun	native	no sentence available	no sentence available
notorio	adjective	obvious, evident	no sentence available	no sentence available
obligatorio	adjective	mandatory, required, compulsory	no sentence available	no sentence available
optimista	adjective	optimistic	no sentence available	no sentence available
pacífico	adjective	peaceful, pacific	no sentence available	no sentence available
pálido	adjective	pale	se puso pálida	she turned pale
pasajero	adjective	passing, fleeting	no sentence available	no sentence available
poético	adjective	poetic, poetical	no sentence available	no sentence available
policial	adjective	police	no sentence available	no sentence available
potente	adjective	powerful, strong	no sentence available	no sentence available
preferible	adjective	preferable	es preferible que …	it's better that …
preso	adjective	imprisoned	estar preso	to be imprisoned
procedente	adjective	proper, fitting	no sentence available	no sentence available
psicológico	adjective	psychological	no sentence available	no sentence available
puntual	adjective	prompt, punctual	no sentence available	no sentence available
quemado	adjective	burned, burnt	no sentence available	no sentence available
quieto	adjective	calm, quiet	no sentence available	no sentence available
referente	adjective	concerning	no sentence available	no sentence available
regional	adjective	regional	no sentence available	no sentence available
repentino	adjective	sudden	no sentence available	no sentence available
restante	adjective	remaining	no sentence available	no sentence available
ridículo	adjective	ridiculous, ludicrous	no sentence available	no sentence available
rotundo	adjective	round	un éxito rotundo	a resounding success
rubio	adjective & noun	blond	no sentence available	no sentence available
satisfactorio	adjective	satisfactory	no sentence available	no sentence available
sexto	adjective & noun	sixth	el sexto lugar	sixth place
silencioso	adjective	silent, quiet	no sentence available	no sentence available
simbólico	adjective	symbolic	no sentence available	no sentence available
solemne	adjective	solemn	no sentence available	no sentence available
soltero	adjective	single, unmarried	no sentence available	no sentence available
sostenido	adjective	sustained, prolonged	no sentence available	no sentence available
tardío	adjective	late, tardy	no sentence available	no sentence available
teatral	adjective	theatrical	no sentence available	no sentence available
temporal	adjective	temporal	no sentence available	no sentence available
tenso	adjective	tense	no sentence available	no sentence available
usado	adjective	used, secondhand	no sentence available	no sentence available
vago	adjective	vague	no sentence available	no sentence available
valiente	adjective	brave, valiant	¡valiente amiga!	what a fine friend!
vano	adjective	vain, useless	vanas promesas	empty promises
vegetal	adjective & masculine noun	vegetable, plant	no sentence available	no sentence available
verbal	adjective	verbal	no sentence available	no sentence available
vertical	adjective & feminine noun	vertical	no sentence available	no sentence available
vuestro	adjective	your, of yours	vuestros coches	your cars
anoche	adverb	last night	no sentence available	no sentence available
desgraciadamente	adverb	unfortunately	no sentence available	no sentence available
difícilmente	adverb	with difficulty	no sentence available	no sentence available
indudablemente	adverb	undoubtedly, unquestionably	no sentence available	no sentence available
ojalá	interjection	I hope so!, if only!, God willing!	¡ojalá que le vaya bien!	I hope things go well for her!
propiamente	adverb	properly, correctly	propiamente dicho	strictly speaking
seriamente	adverb	seriously	no sentence available	no sentence available
sucesivamente	adverb	successively, consecutively	y así sucesivamente	and so on
asistente	adjective	attending, in attendance	no sentence available	no sentence available
cantante	adjective	singing	no sentence available	no sentence available
descendiente	adjective & masculine noun	descendant	no sentence available	no sentence available
dirigente	adjective	directing, leading	no sentence available	no sentence available
turista	masculine or feminine noun	tourist, vacationer	no sentence available	no sentence available
abundancia	feminine noun	abundance	no sentence available	no sentence available
adolescencia	feminine noun	adolescence	no sentence available	no sentence available
advertencia	feminine noun	warning	no sentence available	no sentence available
afición	feminine noun	enthusiasm, penchant, fondness	afición al deporte	love of sports
agresión	feminine noun	aggression	no sentence available	no sentence available
alarma	feminine noun	alarm	no sentence available	no sentence available
aldea	feminine noun	village	no sentence available	no sentence available
alfombra	feminine noun	carpet, rug	no sentence available	no sentence available
ansiedad	feminine noun	anxiety	no sentence available	no sentence available
apertura	feminine noun	opening, aperture	no sentence available	no sentence available
audiencia	feminine noun	audience	no sentence available	no sentence available
autonomía	feminine noun	autonomy	no sentence available	no sentence available
bala	feminine noun	bullet	a prueba de balas	bulletproof
barba	feminine noun	beard, stubble	no sentence available	no sentence available
caña	feminine noun	gray hair	le salen canas	he's going gray
carencia	feminine noun	lack	no sentence available	no sentence available
catástrofe	feminine noun	catastrophe, disaster	no sentence available	no sentence available
celebración	feminine noun	celebration	no sentence available	no sentence available
célula	feminine noun	cell	célula madre	stem cell
cerveza	feminine noun	beer	cerveza de barril	draft beer
cintura	feminine noun	waist, waistline	no sentence available	no sentence available
comedia	feminine noun	comedy	no sentence available	no sentence available
complicación	feminine noun	complication	no sentence available	no sentence available
concesión	feminine noun	concession	no sentence available	no sentence available
conexión	feminine noun	connection	no sentence available	no sentence available
confesión	feminine noun	confession	no sentence available	no sentence available
constancia	feminine noun	proof, certainty	que quede constancia	for the record
continuidad	feminine noun	continuity	no sentence available	no sentence available
conveniencia	feminine noun	convenience	no sentence available	no sentence available
corbata	feminine noun	tie, necktie	no sentence available	no sentence available
corrupción	feminine noun	decay	no sentence available	no sentence available
decadencia	feminine noun	decadence	no sentence available	no sentence available
depresión	feminine noun	depression	no sentence available	no sentence available
desconfianza	feminine noun	distrust, suspicion	no sentence available	no sentence available
diversión	feminine noun	fun, amusement, diversion	no sentence available	no sentence available
duración	feminine noun	duration, length	no sentence available	no sentence available
emergencia	feminine noun	emergency	no sentence available	no sentence available
envidia	feminine noun	envy, jealousy	no sentence available	no sentence available
escasez	feminine noun	shortage, scarcity	no sentence available	no sentence available
espada	feminine noun	sword	no sentence available	no sentence available
estabilidad	feminine noun	stability	no sentence available	no sentence available
estadística	feminine noun	statistic, figure	no sentence available	no sentence available
estatua	feminine noun	statue	no sentence available	no sentence available
excelencia	feminine noun	excellence	Su Excelencia	His Excellency
falda	feminine noun	skirt	falda escocesa	kilt
feria	feminine noun	fair, market	no sentence available	no sentence available
fibra	feminine noun	fiber	no sentence available	no sentence available
ficción	feminine noun	fiction	no sentence available	no sentence available
finalidad	feminine noun	purpose, aim	no sentence available	no sentence available
fortaleza	feminine noun	fortress	no sentence available	no sentence available
frustración	feminine noun	frustration	no sentence available	no sentence available
galería	feminine noun	gallery, balcony (in a theater)	galería comercial	shopping mall
gallina	feminine noun	hen	no sentence available	no sentence available
garganta	feminine noun	throat	no sentence available	no sentence available
grandeza	feminine noun	greatness, size	no sentence available	no sentence available
grasa	feminine noun	grease	no sentence available	no sentence available
hembra	adjective & feminine noun	female	no sentence available	no sentence available
ideología	feminine noun	ideology	no sentence available	no sentence available
ignorancia	feminine noun	ignorance	no sentence available	no sentence available
indiferencia	feminine noun	indifference	no sentence available	no sentence available
inspiración	feminine noun	inspiration	no sentence available	no sentence available
introducción	feminine noun	introduction	no sentence available	no sentence available
jerarquía	feminine noun	hierarchy	no sentence available	no sentence available
junta	feminine noun	board, committee	junta directiva	board of directors
justificación	feminine noun	justification	no sentence available	no sentence available
lámpara	feminine noun	lamp	no sentence available	no sentence available
lana	feminine noun	wool	lana de acero	steel wool
lástima	feminine noun	compassion, pity	¡qué lástima!	what a shame!
licencia	feminine noun	permission	licencia de conducir	driver's license
magia	feminine noun	magic	no sentence available	no sentence available
manga	feminine noun	sleeve	en mangas de camisa	in shirt sleeves
máscara	feminine noun	mask	no sentence available	no sentence available
mejora	feminine noun	improvement	no sentence available	no sentence available
mención	feminine noun	mention	no sentence available	no sentence available
mentalidad	feminine noun	mentality	no sentence available	no sentence available
mina	feminine noun	mine	no sentence available	no sentence available
molestia	feminine noun	annoyance, bother, nuisance	se tomó la molestia de investigar	she took the trouble to investigate
motivación	feminine noun	motivation	no sentence available	no sentence available
muñeca	feminine noun	doll	muñeca de trapo	rag doll
negativa	feminine noun	denial	no sentence available	no sentence available
nostalgia	feminine noun	nostalgia, longing	no sentence available	no sentence available
obsesión	feminine noun	obsession	no sentence available	no sentence available
orquesta	feminine noun	orchestra	orquesta sinfónica	symphony (orchestra)
paja	feminine noun	straw	no sentence available	no sentence available
pauta	feminine noun	rule, guideline	no sentence available	no sentence available
pelea	feminine noun	fight	no sentence available	no sentence available
permanencia	feminine noun	permanence, continuance	no sentence available	no sentence available
persecución	feminine noun	pursuit, chase	no sentence available	no sentence available
pesadilla	feminine noun	nightmare	no sentence available	no sentence available
pesca	feminine noun	fishing	ir de pesca	to go fishing
petición	feminine noun	petition, request	a petición de	at the request of
placa	feminine noun	sheet, plate	no sentence available	no sentence available
plenitud	feminine noun	fullness, abundance	no sentence available	no sentence available
porción	feminine noun	portion	no sentence available	no sentence available
porquería	feminine noun	dirt, filth	no sentence available	no sentence available
previsión	feminine noun	foresight	no sentence available	no sentence available
prisa	feminine noun	hurry, rush	no sentence available	no sentence available
proximidad	feminine noun	nearness, proximity	no sentence available	no sentence available
proyección	feminine noun	projection	no sentence available	no sentence available
pureza	feminine noun	purity	no sentence available	no sentence available
rata	masculine noun	pickpocket, thief	no sentence available	no sentence available
raya	feminine noun	line	pasarse de la raya	to go over the line, to go too far
recepción	feminine noun	reception	no sentence available	no sentence available
receta	feminine noun	recipe	no sentence available	no sentence available
recuperación	feminine noun	recovery, recuperation	no sentence available	no sentence available
renta	feminine noun	income	no sentence available	no sentence available
repetición	feminine noun	repetition	no sentence available	no sentence available
república	feminine noun	republic	no sentence available	no sentence available
respiración	feminine noun	respiration, breathing	no sentence available	no sentence available
rutina	feminine noun	routine, habit	no sentence available	no sentence available
secuencia	feminine noun	sequence	no sentence available	no sentence available
sed	feminine noun	thirst	tener sed	to be thirsty
seda	feminine noun	silk	no sentence available	no sentence available
seriedad	feminine noun	seriousness, earnestness	no sentence available	no sentence available
sierra	feminine noun	saw	sierra de vaivén	jigsaw
tapa	feminine noun	cover, top, lid	no sentence available	no sentence available
taza	feminine noun	cup	no sentence available	no sentence available
timidez	feminine noun	timidity, shyness	no sentence available	no sentence available
tinta	feminine noun	ink	no sentence available	no sentence available
tontería	feminine noun	foolishness	no sentence available	no sentence available
traducción	feminine noun	translation	no sentence available	no sentence available
traición	feminine noun	treason	no sentence available	no sentence available
transición	feminine noun	transition	período de transición	transition period
trascendencia	feminine noun	importance, significance	no sentence available	no sentence available
trayectoria	feminine noun	course, path, trajectory	no sentence available	no sentence available
uña	feminine noun	fingernail, toenail	no sentence available	no sentence available
utilización	feminine noun	utilization, use	no sentence available	no sentence available
venganza	feminine noun	vengeance, revenge	no sentence available	no sentence available
acero	masculine noun	steel	acero inoxidable	stainless steel
adorno	masculine noun	ornament, decoration	no sentence available	no sentence available
aficionado	adjective	enthusiastic, keen	no sentence available	no sentence available
agujero	masculine noun	hole	no sentence available	no sentence available
alcalde	noun	mayor	no sentence available	no sentence available
aliento	masculine noun	breath	no sentence available	no sentence available
almuerzo	masculine noun	lunch	no sentence available	no sentence available
amanecer	impersonal verb	to dawn	no sentence available	no sentence available
anillo	masculine noun	ring	no sentence available	no sentence available
aplauso	masculine noun	applause, clapping	no sentence available	no sentence available
archivo	masculine noun	file	no sentence available	no sentence available
arroz	masculine noun	rice	no sentence available	no sentence available
ascenso	masculine noun	ascent, rise	no sentence available	no sentence available
asesinato	masculine noun	murder	no sentence available	no sentence available
asesino	adjective	murderous, homicidal	no sentence available	no sentence available
auxilio	masculine noun	aid, assistance	no sentence available	no sentence available
balance	masculine noun	balance	no sentence available	no sentence available
balcón	masculine noun	balcony	no sentence available	no sentence available
bando	masculine noun	faction, side	no sentence available	no sentence available
bebé	noun	baby	no sentence available	no sentence available
beso	masculine noun	kiss	tirarle un beso a alguien	to blow someone a kiss
billete	masculine noun	bill	un billete de cinco dólares	a five-dollar bill
brillo	masculine noun	brilliance	sacarle/darle brillo a	to polish
bronce	masculine noun	bronze	no sentence available	no sentence available
cáncer	masculine noun	cancer	no sentence available	no sentence available
cañón	masculine noun	canon	no sentence available	no sentence available
cartel	masculine noun	sign, poster	no sentence available	no sentence available
cartón	masculine noun	cardboard	cartón madera	fiberboard
casco	masculine noun	helmet	no sentence available	no sentence available
castillo	masculine noun	castle	no sentence available	no sentence available
cauce	masculine noun	riverbed	no sentence available	no sentence available
cemento	masculine noun	cement	no sentence available	no sentence available
centenar	masculine noun	hundred	no sentence available	no sentence available
cerdo	masculine noun	pig, hog	no sentence available	no sentence available
cerro	masculine noun	hill	no sentence available	no sentence available
comedor	masculine noun	dining room	no sentence available	no sentence available
congreso	masculine noun	congress, conference	no sentence available	no sentence available
coraje	masculine noun	valor, courage	darle coraje a alguien	to make someone angry
costado	masculine noun	side	no sentence available	no sentence available
costo	masculine noun	cost, price	no sentence available	no sentence available
cuaderno	masculine noun	notebook	no sentence available	no sentence available
defensor	adjective	defending, defense	no sentence available	no sentence available
demonio	masculine noun	devil, demon	no sentence available	no sentence available
desayuno	masculine noun	breakfast	no sentence available	no sentence available
domicilio	masculine noun	home, residence	cambio de domicilio	change of address
dormitorio	masculine noun	bedroom	no sentence available	no sentence available
empeño	masculine noun	pledge, commitment	poner mucho empeño	to put in a lot of effort
encanto	masculine noun	charm, fascination	no sentence available	no sentence available
enfrentamiento	masculine noun	clash, confrontation	no sentence available	no sentence available
engaño	masculine noun	deception, trick	no sentence available	no sentence available
entendimiento	masculine noun	intellect, mind	no sentence available	no sentence available
escudo	masculine noun	shield	no sentence available	no sentence available
exilio	masculine noun	exile	no sentence available	no sentence available
filo	masculine noun	cutting edge, blade	al filo del escritorio	at the edge of the desk
fragmento	masculine noun	fragment, shard	no sentence available	no sentence available
globo	masculine noun	globe, sphere	no sentence available	no sentence available
guante	masculine noun	glove	guante de boxeo	boxing glove
hallazgo	masculine noun	discovery	¡es un verdadero hallazgo!	it's a real find!
horno	masculine noun	oven	horno de microondas	microwave oven
imperio	masculine noun	empire	el imperio de la ley	the rule of law
incidente	masculine noun	incident, occurrence	no sentence available	no sentence available
indicio	masculine noun	indication, sign	no sentence available	no sentence available
infierno	masculine noun	hell	no sentence available	no sentence available
ingenio	masculine noun	ingenuity	no sentence available	no sentence available
invento	masculine noun	invention	no sentence available	no sentence available
jugador	noun	player	no sentence available	no sentence available
ladrillo	masculine noun	brick	no sentence available	no sentence available
lápiz	masculine noun	pencil	no sentence available	no sentence available
latín	masculine noun	Latin (language)	no sentence available	no sentence available
logro	masculine noun	achievement, attainment	no sentence available	no sentence available
macho	adjective	male	no sentence available	no sentence available
maíz	masculine noun	corn, maize	no sentence available	no sentence available
malestar	masculine noun	discomfort	no sentence available	no sentence available
mandato	masculine noun	term of office	no sentence available	no sentence available
manifiesto	adjective	manifest, evident, clear	no sentence available	no sentence available
martes	invariable singular or plural masculine noun	Tuesday	el martes	(on) Tuesday
miércoles	invariable singular or plural masculine noun	Wednesday	el miércoles	(on) Wednesday
ministerio	masculine noun	ministry, department	no sentence available	no sentence available
mono	masculine noun	bun (chignon)	corbata de moño	bow tie
monstruo	masculine noun	monster	no sentence available	no sentence available
músculo	masculine noun	muscle	no sentence available	no sentence available
nido	masculine noun	nest	no sentence available	no sentence available
nudo	masculine noun	knot	nudo de rizo	square knot
obispo	masculine noun	bishop	no sentence available	no sentence available
observador	adjective	observant	no sentence available	no sentence available
otoño	masculine noun	autumn, fall	no sentence available	no sentence available
pánico	masculine noun	panic	tener(le) pánico a algo	to be terrified of something
párrafo	masculine noun	paragraph	no sentence available	no sentence available
patrimonio	masculine noun	patrimony, legacy	no sentence available	no sentence available
